,Repository Path,Copy Path,Corrected File Path,Duplicate Files,File Size,Date of File Creation,Line/Pixel Count,Page Number
61,./repository/554/120/582/782/388/631,./extractedFiles/1f36a88da328b7c2a850fea921fb45e5.txt,./extractedFiles/1f36a88da328b7c2a850fea921fb45e5.txt,,504,2019-10-18 11:28:04.986863,9,[Pg 65]
62,./repository/20/181/604/447/047/217,./extractedFiles/7d1f2e7b40b9d7d44c4061b81da0d2fc.txt,./extractedFiles/7d1f2e7b40b9d7d44c4061b81da0d2fc.txt,,14,2019-10-18 11:28:04.963493,1,[Pg 66]
63,./repository/520/652/631/881/305/286,./extractedFiles/9d682a503bc1889193fc62f5fa6e0c25.txt,./extractedFiles/9d682a503bc1889193fc62f5fa6e0c25.txt,,20,2019-10-18 11:28:04.974352,2,[Pg 68]
64,./repository/416/543/376/472/624/442/260,./extractedFiles/0b6ad292b4f442627496a73f34f56b14.txt,./extractedFiles/0b6ad292b4f442627496a73f34f56b14.txt,,753,2019-10-18 11:28:04.988094,16,[Pg 69]
65,./repository/06/460/636/251/510/413,./extractedFiles/31f4be09e1515c2f6fa3fc6a06eab460.txt,./extractedFiles/31f4be09e1515c2f6fa3fc6a06eab460.txt,,1415,2019-10-18 11:28:04.985873,20,[Pg 70]
66,./repository/44/885/142/253/645/563,./extractedFiles/3de65a54f6a3aefc522c4e15c8f8ca44.jpg,./extractedFiles/3de65a54f6a3aefc522c4e15c8f8ca44.txt,,1441,2019-10-18 11:28:04.980725,21,[Pg 71]
67,./repository/3/885/465/073/028/208/826,./extractedFiles/a9b628890282a0b37a056a4f588dcbd3.txt,./extractedFiles/a9b628890282a0b37a056a4f588dcbd3.txt,,1358,2019-10-18 11:28:04.996648,20,[Pg 72]
68,./repository/8/058/555/670/252/678/132,./extractedFiles/b9231ee876d252ad0ed76d559958508b.txt,./extractedFiles/b9231ee876d252ad0ed76d559958508b.txt,,1104,2019-10-18 11:28:04.978102,20,[Pg 73]
69,./repository/20/208/767/808/221,./extractedFiles/cdc122daadff80ef8e7d67cc8b90e202.txt,./extractedFiles/cdc122daadff80ef8e7d67cc8b90e202.txt,,1392,2019-10-18 11:28:04.963643,20,[Pg 74]
70,./repository/1/072/013/863/844/176,./extractedFiles/67bffd1c4e48cf3bd96cc83ab1027f01.txt,./extractedFiles/67bffd1c4e48cf3bd96cc83ab1027f01.txt,,59,2019-10-18 11:28:04.975197,4,[Pg 75]
71,./repository/612/863/008/056/834/118/471,./extractedFiles/17f49899a1b1b438695080036982b16c.txt,./extractedFiles/17f49899a1b1b438695080036982b16c.txt,,1480,2019-10-18 11:28:04.988391,21,[Pg 76]
72,./repository/06/218/720/832/877/546/433,./extractedFiles/33fa49645dc7b798e2a38e02781260cf.txt,./extractedFiles/33fa49645dc7b798e2a38e02781260cf.txt,,1402,2019-10-18 11:28:04.985662,20,[Pg 77]
73,./repository/442/880/760/085/735/435/573,./extractedFiles/3759e5394c593a97995800f670889244.jpg,./extractedFiles/3759e5394c593a97995800f670889244.txt,,1475,2019-10-18 11:28:04.989641,21,[Pg 78]
74,./repository/01/441/216/844/171,./extractedFiles/171cbfce4ab4cddccaf8c6121b44c1f0.txt,./extractedFiles/171cbfce4ab4cddccaf8c6121b44c1f0.txt,,1067,2019-10-18 11:28:04.984522,22,[Pg 79]
75,./repository/80/060/276/848/334/001,./extractedFiles/c100d43be384b86720b96db0ff990ae8.txt,./extractedFiles/c100d43be384b86720b96db0ff990ae8.txt,,1369,2019-10-18 11:28:04.971642,20,[Pg 80]
76,./repository/117/440/564/336/273/124/167,./extractedFiles/f7619421372a63ba3c4a6fbe50447911.txt,./extractedFiles/f7619421372a63ba3c4a6fbe50447911.txt,,1304,2019-10-18 11:28:04.981063,20,[Pg 81]
77,./repository/30/603/116/350/880,./extractedFiles/0880df536ccda1d1c3d06f909acf3aca.jpg,./extractedFiles/0880df536ccda1d1c3d06f909acf3aca.txt,,1220,2019-10-18 11:28:04.984028,20,[Pg 82]
78,./repository/25/588/105/545/348,./extractedFiles/98c4f3cee54d5501dcceecb88c55a299.txt,./extractedFiles/98c4f3cee54d5501dcceecb88c55a299.txt,,1281,2019-10-18 11:28:05.005751,21,[Pg 83]
79,./repository/0/274/011/226/724/881,./extractedFiles/18894cc27ebd62f21b1ea0e4a720fc9c.txt,./extractedFiles/18894cc27ebd62f21b1ea0e4a720fc9c.txt,,835,2019-10-18 11:28:04.965056,15,[Pg 84]
80,./repository/7/186/208/073/164/634,./extractedFiles/b4364c6913c70e80bdae2ad6bb8e17cf.txt,./extractedFiles/b4364c6913c70e80bdae2ad6bb8e17cf.txt,,147,2019-10-18 11:28:04.968638,2,[Pg 85]
81,./repository/266/185/243/323/236/402,./extractedFiles/29f04bfb9632329e33b94259dd81f662.txt,./extractedFiles/29f04bfb9632329e33b94259dd81f662.txt,,1431,2019-10-18 11:28:04.961652,24,[Pg 86]
82,./repository/243/448/326/255/882/626,./extractedFiles/9d96262f8855bb2c6f23ad8cd4ed4342.jpg,./extractedFiles/9d96262f8855bb2c6f23ad8cd4ed4342.txt,,1153,2019-10-18 11:28:04.961402,18,[Pg 87]
83,./repository/2/104/025/688/541/384/023/724,./extractedFiles/42f973a20489e31458865204d09d1b2e.txt,./extractedFiles/42f973a20489e31458865204d09d1b2e.txt,,241,2019-10-18 11:28:04.999132,8,[Pg 88]
84,./repository/421/055/571/627/548,./extractedFiles/9cda84e59fa7cfecf261cb75f5f50124.txt,./extractedFiles/9cda84e59fa7cfecf261cb75f5f50124.txt,,1148,2019-10-18 11:28:04.987708,19,[Pg 89]
85,./repository/204/283/706/776/068/760/286,./extractedFiles/d698206789ea6e0a69cc7760738240d2.txt,./extractedFiles/d698206789ea6e0a69cc7760738240d2.txt,,1258,2019-10-18 11:28:04.961948,20,[Pg 90]
86,./repository/2/335/354/418/720/600/178/873,./extractedFiles/d3b7889e7fa1006e02d7814945353f32.txt,./extractedFiles/d3b7889e7fa1006e02d7814945353f32.txt,,1344,2019-10-18 11:28:04.999920,21,[Pg 91]
87,./repository/14/564/518/274/835/250/126,./extractedFiles/6a2e10e5b2fc538479eaa281546b5f41.txt,./extractedFiles/6a2e10e5b2fc538479eaa281546b5f41.txt,,1388,2019-10-18 11:28:05.003916,20,[Pg 92]
88,./repository/3/485/672/530/736,./extractedFiles/6acdb3cfdff7c0ed39d52ed76584bee3.txt,./extractedFiles/6acdb3cfdff7c0ed39d52ed76584bee3.txt,,1410,2019-10-18 11:28:04.995446,20,[Pg 93]
89,./repository/780/576/522/587/810/247/517,./extractedFiles/9715742c018978ccf52bc2c5f6750987.txt,./extractedFiles/9715742c018978ccf52bc2c5f6750987.txt,,1348,2019-10-18 11:28:04.997748,21,[Pg 94]
90,./repository/264/247/788/106/266/637,./extractedFiles/e7aa366e996db26a09c91887e742462d.jpg,./extractedFiles/e7aa366e996db26a09c91887e742462d.txt,,1414,2019-10-18 11:28:04.992189,21,[Pg 95]
91,./repository/41/413/228/232/108/141/062,./extractedFiles/2601de4a18e01232dab82b2fe931414a.txt,./extractedFiles/2601de4a18e01232dab82b2fe931414a.txt,,1349,2019-10-18 11:28:04.993516,20,[Pg 96]
92,./repository/52/228/645/857/838/702/454,./extractedFiles/454c290783875d8cbc54682f229a9cd5.txt,./extractedFiles/454c290783875d8cbc54682f229a9cd5.txt,,1288,2019-10-18 11:28:04.986173,21,[Pg 97]
93,./repository/615/027/472/403/835/748,./extractedFiles/8d9475cfae389930c4274ba7f20b51e6.txt,./extractedFiles/8d9475cfae389930c4274ba7f20b51e6.txt,,1312,2019-10-18 11:28:04.989097,20,[Pg 98]
94,./repository/5/848/788/655/547/661,./extractedFiles/1d6674cbe5e55ea6ff8bd8e7ddfc8485.jpg,./extractedFiles/1d6674cbe5e55ea6ff8bd8e7ddfc8485.txt,,1361,2019-10-18 11:28:05.002669,21,[Pg 99]
95,./repository/22/201/773/455/385/223/533,./extractedFiles/3a35d322ed583f5fd5437719baf02a22.txt,./extractedFiles/3a35d322ed583f5fd5437719baf02a22.txt,,1467,2019-10-18 11:28:05.004892,21,[Pg 100]
